Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,011008,1948,0.0,27.8,2.3,2.8,1.8,14.6,15.1,17.6,3.1,18.9,31.0,6.6,141.6
IDCJAC0001,011008,1949,1.0,21.5,0.0,10.4,59.1,2.0,8.4,6.4,21.2,33.1,30.4,5.1,198.6
IDCJAC0001,011008,1950,3.0,0.8,2.0,3.1,29.9,14.5,23.4,18.8,5.3,24.7,7.1,13.2,145.8
IDCJAC0001,011008,1951,7.6,4.3,13.4,50.9,34.0,28.9,24.9,22.7,11.1,6.9,0.0,10.7,215.4
IDCJAC0001,011008,1952,21.9,2.3,0.8,39.0,25.5,7.1,26.6,11.3,16.5,45.5,2.3,5.1,203.9
IDCJAC0001,011008,1953,10.5,5.2,11.7,17.6,8.9,18.6,17.9,40.2,2.1,40.5,3.8,41.6,218.6
IDCJAC0001,011008,1954,8.2,0.0,0.0,12.4,24.2,33.7,13.9,6.5,10.2,37.9,10.9,7.4,165.3
IDCJAC0001,011008,1955,67.1,4.1,30.0,37.8,34.1,111.3,29.7,14.1,25.4,18.2,46.5,2.3,420.6
IDCJAC0001,011008,1956,4.6,0.0,2.5,16.5,66.3,35.3,56.3,27.5,15.9,47.5,13.2,26.4,312.0
IDCJAC0001,011008,1957,0.0,4.6,1.3,0.0,8.9,24.9,8.0,16.7,7.9,2.5,0.5,61.7,137.0
IDCJAC0001,011008,1958,2.8,0.0,30.0,0.0,26.5,19.6,33.1,114.0,42.8,18.9,11.7,19.0,318.4
IDCJAC0001,011008,1959,2.8,24.9,1.0,4.4,26.9,36.0,20.8,3.8,33.6,15.3,33.5,10.9,213.9
IDCJAC0001,011008,1960,42.7,162.8,2.8,33.2,14.0,12.1,27.7,10.4,34.1,4.6,3.6,19.3,367.3
IDCJAC0001,011008,1961,4.4,10.9,13.0,96.2,10.2,11.2,14.5,14.6,2.1,2.1,1.0,0.0,180.2
IDCJAC0001,011008,1962,0.0,34.6,58.9,10.6,38.1,15.8,36.4,10.2,20.8,40.7,0.0,1.1,267.2
IDCJAC0001,011008,1963,6.0,71.4,5.8,17.1,40.4,37.0,26.7,22.6,2.8,0.0,2.5,0.0,232.3
IDCJAC0001,011008,1964,5.3,4.8,0.0,93.0,9.1,17.8,22.6,10.9,58.8,21.4,17.5,0.0,261.2
