165 2011 12 09 32.8 2 1
166 2011 12 17 10.0 4 1
167 2012 03 01 10.0 1 1
168 2012 03 02 23.0 1 1
169 2012 11 29 12.4 1 1
170 2013 01 13 9.0 1 1
171 2013 01 25 5.4 1 1
172 2013 03 07 5.4 1 1
173 2013 11 07 10.4 1 1
174 2013 11 28 8.8 1 1
175 2013 11 30 15.0 1 1
176 2013 12 08 11.0 1 1
177 2013 12 20 9.0 1 1
178 2013 12 21 16.0 1 1
179 2014 02 13 7.6 1 1
180 2014 11 14 17.2 1 1
181 2014 11 15 34.2 1 1
182 2014 11 29 8.2 1 1
183 2014 12 02 5.8 1 1
184 2015 01 11 5.8 1 1
185 2015 01 12 5.2 1 1
