1902 07 14.0 1
1903 07 30.7 1
1904 07 19.6 1
1905 07 13.5 1
1906 07 23.9 1
1907 07 15.4 1
1908 07 16.6 1
1909 07 17.9 1
1910 07 20.5 1
1911 07 22.0 1
1912 07 33.7 1
1913 07 11.8 1
1914 07 25.3 1
1915 07 15.3 1
1916 07 76.8 1
1917 07 16.0 1
1918 07 19.6 1
1919 07 5.8 1
1920 07 18.1 1
1921 07 1.6 1
1922 07 20.6 1
1923 07 17.0 1
1924 07 12.7 1
1925 07 20.6 1
1926 07 10.2 1
1927 07 29.2 1
1928 07 7.6 1
1929 07 4.8 1
1930 07 13.2 1
1931 07 15.4 1
1932 07 0.5 1
1933 07 22.9 1
1934 07 16.2 1
1935 07 25.9 1
1936 07 59.1 1
1937 07 9.3 1
1938 07 26.1 1
1939 07 21.7 1
1940 07 43.7 1
1941 07 40.4 1
1942 07 16.7 1
1943 07 13.7 1
1944 07 16.7 1
1945 07 21.2 1
1946 07 13.9 1
1947 07 12.5 1
1948 07 15.1 1
1949 07 8.4 1
1950 07 23.4 1
1951 07 24.9 1
1952 07 26.6 1
1953 07 17.9 1
1954 07 13.9 1
1955 07 29.7 1
1956 07 56.3 1
1957 07 8.0 1
1958 07 33.1 1
1959 07 20.8 1
1960 07 27.7 1
1961 07 14.5 1
1962 07 36.4 1
1963 07 26.7 1
1964 07 22.6 1
1965 07 11.1 1
1966 07 1.8 1
1967 07 36.4 1
1968 07 36.8 1
1969 07 22.4 1
1970 07 11.9 1
1971 07 10.4 1
1972 7 NaN 
1973 7 NaN 0
1974 7 NaN 0
1975 7 NaN 0
1976 7 NaN 0
1977 7 NaN 0
1978 7 NaN 0
1979 7 NaN 0
1980 7 NaN 0
1981 7 NaN 0
1982 7 NaN 0
1983 7 NaN 0
1984 07 58.0 1
1985 07 23.5 1
1986 07 0.0 1
1987 07 6.4 1
1988 07 2.9 1
1989 07 28.5 1
1990 07 28.4 1
1991 07 27.8 1
1992 07 6.2 1
1993 07 40.0 1
1994 07 16.0 1
1995 07 27.0 1
1996 07 47.2 1
1997 07 7.8 1
1998 07 57.4 1
1999 07 13.8 1
2000 07 17.4 1
2001 07 27.7 1
2002 07 4.7 1
2003 07 24.4 1
2004 07 28.0 1
2005 07 34.4 1
2006 07 26.0 1
2007 07 9.8 1
2008 07 32.9 1
2009 07 33.8 1
2010 07 45.6 1
2011 07 36.3 1
2012 07 5.5 1
2013 07 36.4 1
2014 07 48.7 1
2015 07 26.8 0
